ID,ID2,Feature,Feature2,swap_proportion,Type,P_a_b,P_a_not_b,P_b_not_a,P_a_b_over_P_a_not_b,P_b_a_over_P_b_not_a,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
F_0,F_0,age,age,30.0,CDI,0,0,0,0,0,0.8012533572068039,0.8012533572068039,0.0022266990028561567,0.01204525107837552,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,19.875,0.0,0.0,0.153,-0.765,0,0,0.153,0.765,0.835,0,0.0765,-0.3825,0.801,0.801,0,0,0.801,0.801,1.0,1.0,0.801,0.801,0.89,0.89,0.801,0.801
F_0,F_2,age,education,30.0,NII,0.019888908797706505,0.007615122737860598,0.012990503493997491,2.611764705882353,1.5310344827586209,0.8012533572068039,0.9955237242614146,0.005035810205908684,0.0,0.22090656490199947,0.0004215887803463546,0.7020718684713114,0.004454342984409754,0.0009722054525658969,0.015142738888124774,0.448,0.448,0.004476275738585497,1.0,0.153,-0.997,0,0.022,0.153,0.768,0.835,0,0.0765,-0.4875,0.801,0.999,0,0.018,0.801,0.804,1.0,0.996,0.801,0.999,0.89,0.997,0.801,0.996
F_0,F_2,age,education,30.0,NDI,0.019888908797706505,0.007615122737860598,0.012990503493997491,2.611764705882353,1.5310344827586209,0.8012533572068039,1.0,0.002008749921456501,0.011394156425490356,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.448,0.0,0.0,0.0,0.153,-1.0,0,0.0,0.153,0.768,0.835,0,0.0765,-0.5,0.801,1.0,0,0.0,0.801,0.804,1.0,1.0,0.801,1.0,0.89,1.0,0.801,1.0
F_0,F_3,age,default,30.0,NII,0.02705608313922236,0.0004479483963447411,0.016215731947679626,60.4,1.6685082872928176,0.8012533572068039,0.9955237242614146,0.0003357206803939123,0.0,0.22090656490199947,0.0004215887803463546,0.7020718684713114,0.004454342984409754,0.0008811774570161877,0.015142738888124774,0.0,0.448,0.004476275738585497,1.0,0.153,-0.993,0,0.011,0.153,0.765,0.835,0,0.0765,-0.491,0.801,0.996,0,0.005,0.801,0.801,1.0,0.999,0.801,0.996,0.89,0.997,0.801,0.996
F_0,F_3,age,default,30.0,NDI,0.02705608313922236,0.0004479483963447411,0.016215731947679626,60.4,1.6685082872928176,0.8012533572068039,1.0,0.00229551339822857,0.010161727261100584,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,-1.0,0,0.0,0.153,0.765,0.835,0,0.0765,-0.5,0.801,1.0,0,0.0,0.801,0.801,1.0,1.0,0.801,1.0,0.89,1.0,0.801,1.0
F_0,F_4,age,balance,30.0,NII,0.0,0.0,0.0,0,0,0.8012533572068039,0.999104744852283,0.0005630005145436308,0.0,0.098792419159368,0.00014052959344879067,0.7061105862093024,0.001116071428571416,0.0002007533589866934,0.006773060714850983,0.09,0.09,0.0008952551477170994,1.0,0.153,-1.0,0,0.011,0.153,0.768,0.835,0,0.0765,-0.4945,0.801,1.0,0,0.005,0.801,0.802,1.0,0.999,0.801,1.0,0.89,0.999,0.801,0.999
F_0,F_4,age,balance,30.0,NDI,0.0,0.0,0.0,0,0,0.8012533572068039,1.0,0.0017652794129087914,0.009161831901312653,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.153,-1.0,0,0.0,0.153,0.765,0.835,0,0.0765,-0.5,0.801,1.0,0,0.0,0.801,0.8,1.0,1.0,0.801,1.0,0.89,1.0,0.801,1.0
F_0,F_6,age,loan,30.0,NII,0.023472495968464433,0.00403153556710267,0.014423938362300662,5.822222222222223,1.627329192546584,0.8012533572068039,1.0,0.0026857654431512983,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.153,-1.0,0,0.0,0.153,0.765,0.835,0,0.0765,-0.5,0.801,1.0,0,0.0,0.801,0.8,1.0,1.0,0.801,1.0,0.89,1.0,0.801,1.0
F_0,F_6,age,loan,30.0,NDI,0.023472495968464433,0.00403153556710267,0.014423938362300662,5.822222222222223,1.627329192546584,0.8012533572068039,1.0,0.0017793983872122954,0.010440767826622796,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.179,0.0,0.0,0.0,0.153,-1.0,0,0.0,0.153,0.762,0.835,0,0.0765,-0.5,0.801,1.0,0,0.0,0.801,0.799,1.0,1.0,0.801,1.0,0.89,1.0,0.801,1.0
F_0,F_7,age,duration,30.0,NII,8.958967926894822e-05,0.0,0.0,0,0,0.8012533572068039,0.9883616830796778,0.0029208231074368055,0.0,0.3562011329062324,0.00042158878034633717,0.6939983605541776,0.008958566629339356,0.0023617614769550458,0.024399374870457496,1.343,1.164,0.011638316920322292,1.0,0.153,-0.979,0,0.033,0.153,0.755,0.835,0,0.0765,-0.473,0.801,0.991,0,0.022,0.801,0.797,1.0,0.994,0.801,0.991,0.89,0.992,0.801,0.988
F_0,F_7,age,duration,30.0,NDI,8.958967926894822e-05,0.0,0.0,0,0,0.8012533572068039,1.0,0.0015663732556184867,0.007568975339790022,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.985,0.0,0.0,0.0,0.153,-1.0,0,0.0,0.153,0.757,0.835,0,0.0765,-0.5,0.801,1.0,0,0.0,0.801,0.797,1.0,1.0,0.801,1.0,0.89,1.0,0.801,1.0
F_1,F_1,job,job,30.0,CDI,0,0,0,0,0,0.8012533572068039,0.8030438675022381,0.00447643232675163,0.023520794335476516,0.13971357903482584,0.00028105918689756395,0.7051095908370709,0.0022296544035674253,0.0004011245128103161,0.009574899663923511,0.179,19.696,0.0017905102954341987,1.0,-0.107,-0.77,0,0,0.107,0.77,1.156,0,-0.0535,-0.385,0.801,0.803,0,0,0.801,0.803,1.0,1.0,0.801,0.803,0.89,0.891,0.801,0.803
F_1,F_0,job,age,30.0,NII,0.005464970435405841,0.0019709729439168606,0.003225228453682136,2.772727272727273,1.6944444444444444,0.8012533572068039,1.0,0.0016069966479533915,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.179,0.0,0.0,0.0,-0.107,-1.0,0,0.0,0.107,0.77,1.156,0,-0.0535,-0.5,0.801,1.0,0,0.0,0.801,0.803,1.0,1.0,0.801,1.0,0.89,1.0,0.801,1.0
F_1,F_0,job,age,30.0,NDI,0.005464970435405841,0.0019709729439168606,0.003225228453682136,2.772727272727273,1.6944444444444444,0.8012533572068039,0.9982094897045658,0.004423384097268848,0.026287946610238463,0.13971357903482584,0.00028105918689756395,0.7051095908370709,0.0022296544035674253,0.0004011245128103161,0.009574899663923511,0.179,0.179,0.0017905102954341987,1.0,-0.107,-1.0,0,0.022,0.107,0.77,1.156,0,-0.0535,-0.489,0.801,1.0,0,0.009,0.801,0.803,1.0,0.998,0.801,1.0,0.89,0.999,0.801,0.998
F_1,F_2,job,education,30.0,NII,0.12211073284357642,0.04748253001254255,0.10446156602759363,2.5716981132075474,1.1689536878216122,0.8012533572068039,0.9973142345568488,0.005035810205908684,0.0,0.17111348938666637,0.0004215887803463546,0.704103757244593,0.003340757238307318,0.0006011130677187198,0.011722326907444566,0.269,0.269,0.0026857654431512983,1.0,-0.107,-1.0,0,0.022,0.107,0.77,1.156,0,-0.0535,-0.489,0.801,1.0,0,0.014,0.801,0.804,1.0,0.997,0.801,1.0,0.89,0.998,0.801,0.997
F_1,F_2,job,education,30.0,NDI,0.12211073284357642,0.04748253001254255,0.10446156602759363,2.5716981132075474,1.1689536878216122,0.8012533572068039,0.999104744852283,0.0041778844509666275,0.023113860177423295,0.098792419159368,0.00014052959344877325,0.7061002730051548,0.0011123470522802935,0.00020106337079789743,0.006778289310951282,0.537,0.09,0.0008952551477170994,1.0,-0.107,-1.0,0,0.011,0.107,0.77,1.156,0,-0.0535,-0.4945,0.801,1.0,0,0.005,0.801,0.805,1.0,0.999,0.801,1.0,0.89,0.999,0.801,0.999
F_1,F_3,job,default,30.0,NII,0.16690557247805052,0.0026876903780684463,0.1185271456728185,62.1,1.4081632653061222,0.8012533572068039,0.9973142345568488,0.0003357206803939123,0.0,0.17111348938666637,0.00014052959344879067,0.7040819698988074,0.002227171492204926,0.0005418856120417537,0.011741313407530481,0.179,0.269,0.0026857654431512983,1.0,-0.107,-1.0,0,0.011,0.107,0.77,1.156,0,-0.0535,-0.4945,0.801,0.998,0,0.005,0.801,0.803,1.0,0.999,0.801,0.998,0.89,0.998,0.801,0.997
F_1,F_3,job,default,30.0,NDI,0.16690557247805052,0.0026876903780684463,0.1185271456728185,62.1,1.4081632653061222,0.8012533572068039,0.9982094897045658,0.0036725293177349736,0.025555465125742652,0.13971357903482584,0.00028105918689756395,0.7051095908370709,0.0022296544035674253,0.0004011245128103161,0.009574899663923511,0.179,0.179,0.0017905102954341987,1.0,-0.107,-1.0,0,0.022,0.107,0.77,1.156,0,-0.0535,-0.489,0.801,1.0,0,0.009,0.801,0.803,1.0,0.998,0.801,1.0,0.89,0.999,0.801,0.998
